ID đơn hàng,ID sản phẩm,Tên sản phẩm,Sku,Id Sku,Sku người bán,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Phương thức thanh toán,Trạng thái đơn hàng,Tên người dùng nhà sáng tạo,Loại nội dung,Id nội dung,commission model,Tỷ lệ khấu trừ Thuế TNCN,Thuế TNCN ước tính,Thuế TNCN thực tế,Tỷ lệ hoa hồng tiêu chuẩn,Cơ sở hoa hồng ước tính,Thanh toán hoa hồng tiêu chuẩn ước tính,Cơ sở hoa hồng thực tế,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Thưởng đồng chi trả cho nhà sáng tạo ước tính,Thưởng đồng chi trả cho nhà sáng tạo thực tế,Trả hàng & hoàn tiền,Hoàn tiền,Thời gian đã tạo,Thời gian thanh toán,Thời gian sẵn sàng vận chuyển,Order Delivery Time,Thời gian hoàn thành đơn hàng,Thời gian hoa hồng đã thanh toán,Platform
579060681549973855,1730558606660962650,"Phân bón NANO AMINO A6 – Bung chồi, vọt đọt, thúc bật mầm hoa, xanh lá, dày lá",Default,1730558674250139994,,18500,40900,VND,1,Thanh toán khi giao hàng,Đã hủy,nongduoctoancauofficial,Phát trực tiếp,7391039929926568711,fixed commission,,,,,18500,,,,,,,,,0,0,13/07/2024 15:52:10,,13/07/2024 15:52:11,,,,TTS
579061767231736133,1730561525696006490,"Combo phân bón Nano Đồng + 5 gói JIALETON Giúp Cây Hấp Thu Nhanh, Lưu Dẫn Mạnh, Phát Triển Mạnh",Default,1730561534185146714,,154000,217100,VND,1,Thanh toán khi giao hàng,Đã hủy,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,154000,,,,,,,,,0,0,13/07/2024 20:57:43,,13/07/2024 20:57:44,,,,TTS
579061824446892357,1730384567223617882,"Bột sinh học giúp phục hồi bộ rễ, vàng lá, héo xanh toàn diện Cheatumig TC 1kg",Default,1730384594205706586,,131100,149000,VND,1,Thanh toán khi giao hàng,Đã hủy,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,131100,,,,,,,,,0,0,13/07/2024 21:12:03,,13/07/2024 21:12:04,,,,TTS
579061824446892357,1730420312203299162,"HUMIC Can 5 Lít Nông Dược Toàn Cầu – Vọt đọt, Xanh lá, Mập cây - Cải tạo đất, Tiết kiệm chi phí phân bón, Chống hạn hán, Tăng hấp thụ phân bón",Default,1730420328725121370,,401850,478000,VND,1,Thanh toán khi giao hàng,Đã hủy,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,401850,,,,,,,,,0,0,13/07/2024 21:12:03,,13/07/2024 21:12:04,,,,TTS
579061824446892357,1730421812382697818,"Đạm Cá Hữu Cơ Amino Toàn Cầu Giúp Cây Bật Mầm, Xanh Lá, Bung Cành, Đẻ Nhánh Mạnh, Nuôi Trái (Can 5 Lít)",Default,1730421827041724762,,431300,509000,VND,1,Thanh toán khi giao hàng,Đã hủy,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,431300,,,,,,,,,0,0,13/07/2024 21:12:03,,13/07/2024 21:12:04,,,,TTS
579061870862895429,1730421812382697818,"Đạm Cá Hữu Cơ Amino Toàn Cầu Giúp Cây Bật Mầm, Xanh Lá, Bung Cành, Đẻ Nhánh Mạnh, Nuôi Trái (Can 5 Lít)",Default,1730421827041724762,,420031,509354,VND,1,Thanh toán khi giao hàng,Đã hoàn thành,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,420031,,420031,,,,,,,0,0,13/07/2024 21:23:20,19/7/2024 12:18:51,13/07/2024 21:23:21,19/07/2024 12:18:51,04/08/2024 00:56:30,,TTS
579061870862895429,1730561525696006490,"Combo phân bón Nano Đồng + 5 gói JIALETON Giúp Cây Hấp Thu Nhanh, Lưu Dẫn Mạnh, Phát Triển Mạnh",Default,1730561534185146714,,179193,187321,VND,1,Thanh toán khi giao hàng,Đã hoàn thành,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,179193,,179193,,,,,,,0,0,13/07/2024 21:23:20,19/7/2024 12:18:51,13/07/2024 21:23:21,19/07/2024 12:18:51,04/08/2024 00:56:30,,TTS
579061870862895429,1730384567223617882,"Bột sinh học giúp phục hồi bộ rễ, vàng lá, héo xanh toàn diện Cheatumig TC 1kg",Default,1730384594205706586,,127675,149071,VND,1,Thanh toán khi giao hàng,Đã hoàn thành,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,127675,,127675,,,,,,,0,0,13/07/2024 21:23:20,19/7/2024 12:18:51,13/07/2024 21:23:21,19/07/2024 12:18:51,04/08/2024 00:56:30,,TTS
579061870862895429,1730420312203299162,"HUMIC Can 5 Lít Nông Dược Toàn Cầu – Vọt đọt, Xanh lá, Mập cây - Cải tạo đất, Tiết kiệm chi phí phân bón, Chống hạn hán, Tăng hấp thụ phân bón",Default,1730420328725121370,,391351,478354,VND,1,Thanh toán khi giao hàng,Đã hoàn thành,nongduoctoancauofficial,Phát trực tiếp,7391106133357873938,fixed commission,,,,,391351,,391351,,,,,,,0,0,13/07/2024 21:23:20,19/7/2024 12:18:51,13/07/2024 21:23:21,19/07/2024 12:18:51,04/08/2024 00:56:30,,TTS
579065732674390288,1730384567223617882,"Bột sinh học giúp phục hồi bộ rễ, vàng lá, héo xanh toàn diện Cheatumig TC 1kg giốngcây raungótrừng",Default,1730384594205706586,,80000,197100,VND,1,Thanh toán khi giao hàng,Đã hoàn thành,nongduoctoancauofficial,Phát trực tiếp,7391479074546354952,fixed commission,,,,,80000,,80000,,,,,,,0,0,14/07/2024 20:30:01,17/7/2024 10:24:10,14/07/2024 20:30:03,17/07/2024 10:24:10,02/08/2024 02:43:31,,TTS
