ID,Mã vận đơn,Trạng thái,Sản phẩm,Số lượng,Đơn giá,Giảm giá,Ngày tạo đơn,Ngày cập nhật,Tỉnh thành phố,Ngày giờ đẩy đơn sang đvvc,Thẻ,Ảnh SP,Doanh thu chưa trừ phí sàn,Tiền thanh toán thực tế,Tổng phí đối soát,Sàn trợ giá,khác,phí aff,tên aff,tiền spf ship,tiền thực nhận,tiền ship shop chịu,phí giao dịch,phí hoa hồng tiktok shop,phí 9% thực tế,phí xtra,phí flash sale,ghi chú,thuế,phí tiktok bù,Phí xử lý đơn hàng
579842734081672398,859373863119,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,11000,02/08/2025,21/08/2025,Gia Lai,14:17 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,130000,119000,0,11000,,23800,..nampham,0,84650,-26200,-5950,0,-5950,0,0,,-1300,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579834950274221646,859372464702,Đã hoàn,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,82250,01/08/2025,20/08/2025,Đồng Nai,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,0,275350,0,29750,,,vuonmaianhquy,,,,,,,,,1 a6,,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579835751703021207,859376094304,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,67500,01/08/2025,21/08/2025,Hồ Chí Minh,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,297500,283900,0,15000,,56500,vuonmaianhquy,0,191104,-41400,-14195,0,-14195,0,0,1 a6,-2975,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579836018530223933,859370424702,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 500ml",1,350000,67500,01/08/2025,21/08/2025,Kiên Giang,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,297500,282500,0,15000,,56500,vuonmaianhquy,0,191174,-41400,-14125,0,-14125,0,0,1 a6,-2975,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
579834885615551929,859372424702,Đã nhận,"Yapoko Chế Phẩm Dạng Sữa SC Có Tác Dụng Mát Cây Giúp Cây Trồng Khỏe Mạnh, Xanh Dày Lá, Hỗ Trợ Hiệu Quả Phân Bón Cho Cây Trồng / Thông số: Chai 200ml",1,130000,76300,01/08/2025,20/08/2025,Bình Định,10:59 02/08/2025,,https://content.pancake.vn/2-25/2025/8/1/243900ec515c69e8afe0f188aa0e5d739b80effe.jpg,115700,53700,0,62000,,10740,vuonmaianhquy,0,88392,-30300,-2685,0,-2685,0,0,1 a6,-1157,,
_,,,"(HÀNG TẶNG) Chế phẩm REX Tăng Hoạt Lực, Bám Dính, Thẩm Thấu Nhanh, Lưu Dẫn Mạnh, Lưu Dẫn 2 Chiều",1,0,,,,,,,https://content.pancake.vn/2-25/2025/8/1/22775416bcf7ea991ccda4a88643b84a4fa276bc.jpg,,,,,,,,,,,,,,,,,,,
