Mã đơn/điều chỉnh,Loại,Thời gian tạo đơn,Thời gian tất toán đơn,Tiền tệ,Tổng số tiền tất toán,Tổng doanh thu,Tổng sau giảm giá của người bán,Tổng trước giảm giá,Giảm giá của người bán,Tổng hoàn sau giảm giá của người bán,Tổng hoàn trước giảm giá của người bán,Hoàn phần giảm giá của người bán,Tổng phí,Phí giao dịch,Phí hoa hồng TikTok Shop,Phí vận chuyển do người bán trả,Phí vận chuyển thực tế,Ưu đãi phí vận chuyển của sàn,Phí vận chuyển khách trả,Phí hoàn hàng thực tế,Hoàn phí vận chuyển khách,Hoàn tiền SFR,Trợ giá giao hàng thất bại,Trợ giá phí vận chuyển,Hoa hồng affiliate,Hoa hồng affiliate trước PIT,Thuế TNCN khấu trừ từ hoa hồng affiliate,Hoa hồng quảng cáo Shop Ads,Hoa hồng quảng cáo Shop Ads trước PIT,Thuế TNCN khấu trừ từ hoa hồng quảng cáo Shop Ads,Hoa hồng đối tác affiliate,Ký quỹ hoa hồng affiliate,Hoàn hoa hồng affiliate,Phí quảng cáo TAP Shop Ads,Phí dịch vụ SFP,Phí dịch vụ hoàn tiền Bonus,Phí dịch vụ LIVE Specials,Phí dịch vụ Voucher Xtra,Phí xử lý đơn hàng,Phí dịch vụ EAMS,Phí dịch vụ Flash Sale,Thuế VAT khấu trừ bởi TikTok Shop,Thuế TNCN khấu trừ bởi TikTok Shop,Phí chương trình TikTok PayLater,Phí tài nguyên chiến dịch,Phí dịch vụ SFR,Số tiền điều chỉnh,Mã đơn liên quan,Thanh toán của khách,Hoàn tiền cho khách,Giảm giá voucher đồng tài trợ bởi người bán,Hoàn giảm giá voucher đồng tài trợ bởi người bán,Giảm giá từ sàn,Hoàn giảm giá từ sàn,Giảm giá voucher đồng tài trợ bởi sàn,Hoàn giảm giá voucher đồng tài trợ bởi sàn,Giảm phí vận chuyển của người bán,Khối lượng gói ước tính (g),Khối lượng gói thực tế (g)
581004633936791270,Order,2025/11/01,2025/11/07,VND,84291,135000,135000,150000,-15000,0,0,0,-50709,-5940,-11934,0,-26200,26200,0,0,0,0,0,0,-23760,-23760,0,0,0,0,0,0,0,0,0,0,0,-4050,-3000,0,0,-1350,-675,0,0,0,0,581004633936791270,118800,0,0,0,16200,0,0,0,0,210,210
580998997722760895,Order,2025/11/01,2025/11/07,VND,206498,324000,324000,360000,-36000,0,0,0,-117502,-14256,-28642,0,-47600,47600,0,0,0,0,0,0,-57024,-57024,0,0,0,0,0,0,0,0,0,0,0,-9720,-3000,0,0,-3240,-1620,0,0,0,0,580998997722760895,285120,0,0,0,38880,0,0,0,0,510,510
580997769248736795,Order,2025/11/01,2025/11/07,VND,163482,270000,270000,300000,-30000,0,0,0,-106518,-13500,-23868,0,-40000,40000,0,0,0,0,0,0,-54000,-54000,0,0,0,0,0,0,0,0,0,0,0,-8100,-3000,0,0,-2700,-1350,0,0,0,0,580997769248736795,270000,0,0,0,0,0,0,0,0,410,410
580997014375335094,Order,2025/11/01,2025/11/07,VND,87730,150000,150000,150000,0,0,0,0,-62270,-9260,-13260,0,-35200,0,35200,0,0,0,0,0,-30000,-30000,0,0,0,0,0,0,0,0,0,0,0,-4500,-3000,0,0,-1500,-750,0,0,0,0,580997014375335094,185200,0,0,0,0,0,0,0,0,200,200
580996791233709947,Order,2025/11/01,2025/11/07,VND,-40000,0,0,0,0,0,0,0,-40000,0,0,-40000,-40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580996791233709947,0,0,0,0,0,0,0,0,0,500,500
580996767713035279,Order,2025/11/01,2025/11/07,VND,-40000,0,0,0,0,0,0,0,-40000,0,0,-40000,-40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580996767713035279,0,0,0,0,0,0,0,0,0,500,500
580992292823795087,Order,2025/10/31,2025/11/07,VND,93741,135000,135000,150000,-15000,0,0,0,-41259,-6750,-11934,0,-30300,30300,0,0,0,0,0,0,0,0,0,-13500,0,0,0,0,0,0,0,0,0,-4050,-3000,0,0,-1350,-675,0,0,0,0,580992292823795087,135000,0,0,0,0,0,0,0,0,210,210
580992159971313352,Order,2025/10/31,2025/11/07,VND,83709,121000,121000,150000,-29000,0,0,0,-37291,-6050,-10696,0,-40000,40000,0,0,0,0,0,0,0,0,0,-12100,0,0,0,0,0,0,0,0,0,-3630,-3000,0,0,-1210,-605,0,0,0,0,580992159971313352,121000,0,0,0,0,0,0,0,0,210,210
580992046652163841,Order,2025/10/31,2025/11/07,VND,80241,135000,135000,150000,-15000,0,0,0,-54759,-6750,-11934,0,-35200,35200,0,0,0,0,0,0,-27000,-27000,0,0,0,0,0,0,0,0,0,0,0,-4050,-3000,0,0,-1350,-675,0,0,0,0,580992046652163841,135000,0,0,0,0,0,0,0,0,210,210
580991749080975046,Order,2025/10/31,2025/11/07,VND,411137,648000,648000,720000,-72000,0,0,0,-236863,-29484,-57283,0,-34000,34000,0,0,0,0,0,0,-117936,-117936,0,0,0,0,0,0,0,0,0,0,0,-19440,-3000,0,0,-6480,-3240,0,0,0,0,580991749080975046,589680,0,0,0,58320,0,0,0,0,1030,1030
